user_id,experiment_name,variant,assigned_ts
u_000000,onboarding_v2,treatment,2024-02-19 04:00:00
u_000001,onboarding_v2,treatment,2025-02-26 20:00:00
u_000007,onboarding_v2,control,2025-01-15 02:00:00
u_000010,onboarding_v2,control,2024-10-15 12:00:00
u_000011,onboarding_v2,control,2025-06-17 20:00:00
u_000012,onboarding_v2,treatment,2025-02-05 06:00:00
u_000013,onboarding_v2,treatment,2025-02-19 02:00:00
u_000016,onboarding_v2,treatment,2024-10-08 21:00:00
u_000017,onboarding_v2,treatment,2024-03-10 05:00:00
u_000019,onboarding_v2,treatment,2024-09-03 20:00:00
u_000020,onboarding_v2,treatment,2024-10-01 19:00:00
u_000022,onboarding_v2,treatment,2024-04-10 13:00:00
u_000023,onboarding_v2,treatment,2025-05-21 03:00:00
u_000026,onboarding_v2,treatment,2024-08-08 21:00:00
u_000028,onboarding_v2,control,2024-10-24 16:00:00
u_000029,onboarding_v2,treatment,2024-08-31 08:00:00
u_000030,onboarding_v2,control,2024-09-02 23:00:00
u_000031,onboarding_v2,control,2024-05-04 05:00:00
u_000032,onboarding_v2,treatment,2024-02-20 05:00:00
u_000033,onboarding_v2,control,2024-10-30 13:00:00
u_000034,onboarding_v2,control,2025-04-29 08:00:00
u_000035,onboarding_v2,control,2024-02-05 16:00:00
u_000036,onboarding_v2,control,2025-04-13 08:00:00
u_000038,onboarding_v2,control,2024-06-01 14:00:00
u_000040,onboarding_v2,treatment,2024-04-01 17:00:00
u_000041,onboarding_v2,treatment,2025-02-17 08:00:00
u_000043,onboarding_v2,control,2024-07-13 16:00:00
u_000044,onboarding_v2,treatment,2024-02-07 06:00:00
u_000047,onboarding_v2,control,2025-05-03 21:00:00
u_000048,onboarding_v2,treatment,2025-01-05 11:00:00
u_000049,onboarding_v2,control,2025-02-28 20:00:00
u_000051,onboarding_v2,control,2024-04-16 15:00:00
u_000052,onboarding_v2,treatment,2024-07-17 15:00:00
u_000053,onboarding_v2,treatment,2024-09-12 03:00:00
u_000055,onboarding_v2,control,2024-01-24 05:00:00
u_000056,onboarding_v2,control,2024-10-25 02:00:00
u_000058,onboarding_v2,control,2025-02-10 15:00:00
u_000059,onboarding_v2,control,2025-01-08 23:00:00
u_000060,onboarding_v2,control,2025-05-19 23:00:00
u_000062,onboarding_v2,control,2024-07-19 14:00:00
u_000063,onboarding_v2,control,2025-06-12 10:00:00
u_000064,onboarding_v2,treatment,2024-08-12 12:00:00
u_000066,onboarding_v2,treatment,2025-05-10 10:00:00
u_000067,onboarding_v2,treatment,2024-07-22 03:00:00
u_000069,onboarding_v2,treatment,2024-09-14 16:00:00
u_000070,onboarding_v2,treatment,2025-03-11 05:00:00
u_000071,onboarding_v2,treatment,2024-04-13 19:00:00
u_000072,onboarding_v2,control,2024-09-10 21:00:00
u_000074,onboarding_v2,treatment,2025-01-09 10:00:00
u_000075,onboarding_v2,treatment,2024-09-17 10:00:00
u_000076,onboarding_v2,treatment,2024-06-30 11:00:00
u_000077,onboarding_v2,control,2024-05-04 20:00:00
u_000079,onboarding_v2,control,2025-01-01 10:00:00
u_000080,onboarding_v2,control,2025-05-28 02:00:00
u_000081,onboarding_v2,control,2024-08-27 16:00:00
u_000084,onboarding_v2,treatment,2024-12-10 23:00:00
u_000086,onboarding_v2,control,2024-02-23 05:00:00
u_000087,onboarding_v2,treatment,2024-06-19 02:00:00
u_000088,onboarding_v2,treatment,2025-02-24 15:00:00
u_000090,onboarding_v2,treatment,2024-08-26 23:00:00
u_000091,onboarding_v2,control,2025-03-16 18:00:00
u_000092,onboarding_v2,control,2025-04-04 15:00:00
u_000093,onboarding_v2,treatment,2024-07-31 17:00:00
u_000094,onboarding_v2,treatment,2025-05-05 22:00:00
u_000095,onboarding_v2,control,2024-06-06 22:00:00
u_000097,onboarding_v2,treatment,2025-01-07 14:00:00
u_000098,onboarding_v2,treatment,2024-12-14 22:00:00
u_000099,onboarding_v2,control,2024-03-18 21:00:00
u_000102,onboarding_v2,control,2025-03-16 19:00:00
u_000104,onboarding_v2,control,2025-03-12 15:00:00
u_000105,onboarding_v2,control,2025-03-06 06:00:00
u_000106,onboarding_v2,control,2025-03-02 05:00:00
u_000109,onboarding_v2,treatment,2025-01-21 07:00:00
u_000110,onboarding_v2,treatment,2024-06-01 06:00:00
u_000111,onboarding_v2,control,2025-03-03 17:00:00
u_000112,onboarding_v2,treatment,2024-10-30 02:00:00
u_000113,onboarding_v2,control,2024-09-08 17:00:00
u_000115,onboarding_v2,treatment,2024-11-07 23:00:00
u_000116,onboarding_v2,treatment,2024-01-21 07:00:00
u_000117,onboarding_v2,control,2024-03-17 08:00:00
u_000118,onboarding_v2,treatment,2024-05-14 04:00:00
u_000121,onboarding_v2,treatment,2024-12-31 13:00:00
u_000122,onboarding_v2,treatment,2024-12-24 01:00:00
u_000124,onboarding_v2,treatment,2025-04-12 12:00:00
u_000125,onboarding_v2,treatment,2024-11-04 04:00:00
u_000126,onboarding_v2,control,2024-02-13 16:00:00
u_000128,onboarding_v2,treatment,2024-11-10 10:00:00
u_000130,onboarding_v2,treatment,2024-11-04 13:00:00
u_000131,onboarding_v2,control,2024-10-30 00:00:00
u_000132,onboarding_v2,treatment,2024-02-20 18:00:00
u_000134,onboarding_v2,treatment,2025-03-11 11:00:00
u_000135,onboarding_v2,control,2024-06-14 03:00:00
u_000136,onboarding_v2,control,2024-11-26 23:00:00
u_000137,onboarding_v2,treatment,2024-01-18 09:00:00
u_000138,onboarding_v2,treatment,2024-07-08 04:00:00
u_000142,onboarding_v2,treatment,2024-05-31 11:00:00
u_000143,onboarding_v2,control,2024-08-12 11:00:00
u_000144,onboarding_v2,treatment,2025-06-26 14:00:00
u_000146,onboarding_v2,treatment,2024-01-20 21:00:00
u_000147,onboarding_v2,control,2024-05-07 07:00:00
